Ensemble.Gene.ID	Dog.Ensembl.Gene.ID
ENSG00000155313	ENSCAFG00000008215
ENSG00000205863	ENSCAFG00000007120
ENSG00000273167	ENSCAFG00000007115
ENSG00000182957	ENSCAFG00000007115
ENSG00000240654	ENSCAFG00000007120
ENSG00000102699	ENSCAFG00000007375
ENSG00000075673	ENSCAFG00000007432
ENSG00000132972	ENSCAFG00000007418
ENSG00000151849	ENSCAFG00000007391
ENSG00000151846	ENSCAFG00000000567
ENSG00000165566	ENSCAFG00000032600
ENSG00000139505	ENSCAFG00000007083
ENSG00000130538	ENSCAFG00000043265
ENSG00000139496	ENSCAFG00000007067
ENSG00000207638	ENSCAFG00000020548
ENSG00000199030	ENSCAFG00000020496
ENSG00000207863	ENSCAFG00000020578
ENSG00000252462	ENSCAFG00000022144
ENSG00000154639	ENSCAFG00000008291
ENSG00000132932	ENSCAFG00000007007
ENSG00000198445	ENSCAFG00000004961
ENSG00000199767	ENSCAFG00000021052
ENSG00000180730	ENSCAFG00000030320
ENSG00000154640	ENSCAFG00000008295
ENSG00000127870	ENSCAFG00000006901
ENSG00000154642	ENSCAFG00000008305
ENSG00000132964	ENSCAFG00000006870
ENSG00000154645	ENSCAFG00000008319
ENSG00000183307	ENSCAFG00000025247
ENSG00000177663	ENSCAFG00000016076
ENSG00000154646	ENSCAFG00000008337
ENSG00000132970	ENSCAFG00000006841
ENSG00000069998	ENSCAFG00000016081
ENSG00000132975	ENSCAFG00000006823
ENSG00000152484	ENSCAFG00000006816
ENSG00000093072	ENSCAFG00000016114
ENSG00000251851	ENSCAFG00000032368
ENSG00000122026	ENSCAFG00000044878
ENSG00000207500	ENSCAFG00000025748
ENSG00000207051	ENSCAFG00000021389
ENSG00000122035	ENSCAFG00000006798
ENSG00000122034	ENSCAFG00000006794
ENSG00000099954	ENSCAFG00000016136
ENSG00000122033	ENSCAFG00000006788
ENSG00000252499	ENSCAFG00000021299
ENSG00000139517	ENSCAFG00000006782
ENSG00000186184	ENSCAFG00000006755
ENSG00000154654	ENSCAFG00000008418
ENSG00000182902	ENSCAFG00000016143
ENSG00000169840	ENSCAFG00000006749
ENSG00000207330	ENSCAFG00000030592
ENSG00000139515	ENSCAFG00000006746
ENSG00000165556	ENSCAFG00000006742
ENSG00000122025	ENSCAFG00000006716
ENSG00000223078	ENSCAFG00000044152
ENSG00000152520	ENSCAFG00000006733
ENSG00000099968	ENSCAFG00000016158
ENSG00000200840	ENSCAFG00000028105
ENSG00000102755	ENSCAFG00000006701
ENSG00000283904	ENSCAFG00000020623
ENSG00000154719	ENSCAFG00000008475
ENSG00000015475	ENSCAFG00000009888
ENSG00000015475	ENSCAFG00000016168
ENSG00000154721	ENSCAFG00000008482
ENSG00000178591	ENSCAFG00000025097
ENSG00000125788	ENSCAFG00000025122
ENSG00000088782	ENSCAFG00000006987
ENSG00000185982	ENSCAFG00000006984
ENSG00000125903	ENSCAFG00000006980
ENSG00000196476	ENSCAFG00000006974
ENSG00000154723	ENSCAFG00000024922
ENSG00000154723	ENSCAFG00000008488
ENSG00000154723	ENSCAFG00000042967
ENSG00000177732	ENSCAFG00000006973
ENSG00000125841	ENSCAFG00000032144
ENSG00000132963	ENSCAFG00000013484
ENSG00000132963	ENSCAFG00000047865
ENSG00000132963	ENSCAFG00000041172
ENSG00000132963	ENSCAFG00000000331
ENSG00000132963	ENSCAFG00000049002
ENSG00000132963	ENSCAFG00000015709
ENSG00000132963	ENSCAFG00000010580
ENSG00000132963	ENSCAFG00000013570
ENSG00000243156	ENSCAFG00000016211
ENSG00000101255	ENSCAFG00000006965
ENSG00000139508	ENSCAFG00000006691
ENSG00000125826	ENSCAFG00000006921
ENSG00000202237	ENSCAFG00000030341
ENSG00000132938	ENSCAFG00000024936
ENSG00000154727	ENSCAFG00000008512
ENSG00000139514	ENSCAFG00000006660
ENSG00000122042	ENSCAFG00000032748
ENSG00000142192	ENSCAFG00000008557
ENSG00000102781	ENSCAFG00000006616
ENSG00000125875	ENSCAFG00000030816
ENSG00000252928	ENSCAFG00000022358
ENSG00000236444	ENSCAFG00000030391
ENSG00000101266	ENSCAFG00000006946
ENSG00000132952	ENSCAFG00000006590
ENSG00000132965	ENSCAFG00000006585
ENSG00000102802	ENSCAFG00000006579
ENSG00000175664	ENSCAFG00000006571
ENSG00000183785	ENSCAFG00000016229
ENSG00000120694	ENSCAFG00000006538
ENSG00000184979	ENSCAFG00000016252
ENSG00000274252	ENSCAFG00000013899
ENSG00000166265	ENSCAFG00000031264
ENSG00000154734	ENSCAFG00000008586
ENSG00000275793	ENSCAFG00000044607
ENSG00000183628	ENSCAFG00000014151
ENSG00000187676	ENSCAFG00000006522
ENSG00000154736	ENSCAFG00000024758
ENSG00000283809	ENSCAFG00000014151
ENSG00000133105	ENSCAFG00000006501
ENSG00000100033	ENSCAFG00000014154
ENSG00000156239	ENSCAFG00000047642
ENSG00000073910	ENSCAFG00000025580
ENSG00000198862	ENSCAFG00000008609
ENSG00000070413	ENSCAFG00000014833
ENSG00000156253	ENSCAFG00000008614
ENSG00000156256	ENSCAFG00000008633
ENSG00000189167	ENSCAFG00000031981
ENSG00000139618	ENSCAFG00000006383
ENSG00000100056	ENSCAFG00000014804
ENSG00000139597	ENSCAFG00000006379
ENSG00000206203	ENSCAFG00000014810
ENSG00000100075	ENSCAFG00000023963
ENSG00000156261	ENSCAFG00000008687
ENSG00000212293	ENSCAFG00000026309
ENSG00000244754	ENSCAFG00000006376
ENSG00000070371	ENSCAFG00000014736
ENSG00000125878	ENSCAFG00000006930
ENSG00000271303	ENSCAFG00000028688
ENSG00000101276	ENSCAFG00000006904
ENSG00000156265	ENSCAFG00000032403
ENSG00000083642	ENSCAFG00000006351
ENSG00000125898	ENSCAFG00000006877
ENSG00000101280	ENSCAFG00000006861
ENSG00000101282	ENSCAFG00000006836
ENSG00000251940	ENSCAFG00000027744
ENSG00000100084	ENSCAFG00000014619
ENSG00000125818	ENSCAFG00000006834
ENSG00000133116	ENSCAFG00000006322
ENSG00000133121	ENSCAFG00000006294
ENSG00000125895	ENSCAFG00000006829
ENSG00000215595	ENSCAFG00000042476
ENSG00000244588	ENSCAFG00000044714
ENSG00000128191	ENSCAFG00000014196
ENSG00000156273	ENSCAFG00000008729
ENSG00000125775	ENSCAFG00000006811
ENSG00000242259	ENSCAFG00000014611
ENSG00000171189	ENSCAFG00000008768
ENSG00000185608	ENSCAFG00000014614
ENSG00000070010	ENSCAFG00000014596
ENSG00000088832	ENSCAFG00000006795
ENSG00000088832	ENSCAFG00000023724
ENSG00000133119	ENSCAFG00000006271
ENSG00000088833	ENSCAFG00000006789
ENSG00000156282	ENSCAFG00000008803
ENSG00000156284	ENSCAFG00000008822
ENSG00000188694	ENSCAFG00000008825
ENSG00000232263	ENSCAFG00000045322
ENSG00000240432	ENSCAFG00000008836
ENSG00000240432	ENSCAFG00000008829
ENSG00000093009	ENSCAFG00000014571
ENSG00000172915	ENSCAFG00000006255
ENSG00000183640	ENSCAFG00000008843
ENSG00000180660	ENSCAFG00000006261
ENSG00000274749	ENSCAFG00000008845
ENSG00000156299	ENSCAFG00000008853
ENSG00000133083	ENSCAFG00000006231
ENSG00000196209	ENSCAFG00000029125
ENSG00000125900	ENSCAFG00000025335
ENSG00000125900	ENSCAFG00000046516
ENSG00000260861	ENSCAFG00000042019
ENSG00000260861	ENSCAFG00000025524
ENSG00000260861	ENSCAFG00000025454
ENSG00000260861	ENSCAFG00000031201
ENSG00000260861	ENSCAFG00000030315
ENSG00000260861	ENSCAFG00000029953
ENSG00000101307	ENSCAFG00000042019
ENSG00000101307	ENSCAFG00000025524
ENSG00000101307	ENSCAFG00000025454
ENSG00000101307	ENSCAFG00000031201
ENSG00000101307	ENSCAFG00000030315
ENSG00000101307	ENSCAFG00000029953
ENSG00000089012	ENSCAFG00000042019
ENSG00000089012	ENSCAFG00000025524
ENSG00000089012	ENSCAFG00000025454
ENSG00000089012	ENSCAFG00000031201
ENSG00000089012	ENSCAFG00000030315
ENSG00000089012	ENSCAFG00000029953
ENSG00000142168	ENSCAFG00000008859
ENSG00000156304	ENSCAFG00000008863
ENSG00000198053	ENSCAFG00000042019
ENSG00000198053	ENSCAFG00000025524
ENSG00000198053	ENSCAFG00000025454
ENSG00000198053	ENSCAFG00000031201
ENSG00000198053	ENSCAFG00000030315
ENSG00000198053	ENSCAFG00000029953
ENSG00000101327	ENSCAFG00000006748
ENSG00000184113	ENSCAFG00000042795
ENSG00000184702	ENSCAFG00000014533
ENSG00000207203	ENSCAFG00000027209
ENSG00000207203	ENSCAFG00000031304
ENSG00000133104	ENSCAFG00000006178
ENSG00000286022	ENSCAFG00000023828
ENSG00000125780	ENSCAFG00000023828
ENSG00000166948	ENSCAFG00000006727
ENSG00000125835	ENSCAFG00000041886
ENSG00000125835	ENSCAFG00000043870
ENSG00000125835	ENSCAFG00000048959
ENSG00000142149	ENSCAFG00000008874
ENSG00000284874	ENSCAFG00000014533
ENSG00000159055	ENSCAFG00000008878
ENSG00000203618	ENSCAFG00000029230
ENSG00000133101	ENSCAFG00000006189
ENSG00000142207	ENSCAFG00000008892
ENSG00000154620	ENSCAFG00000042696
ENSG00000154620	ENSCAFG00000030265
ENSG00000185838	ENSCAFG00000014499
ENSG00000180440	ENSCAFG00000006170
ENSG00000149488	ENSCAFG00000006675
ENSG00000133111	ENSCAFG00000030114
ENSG00000120693	ENSCAFG00000006162
ENSG00000165246	ENSCAFG00000011251
ENSG00000101361	ENSCAFG00000006651
ENSG00000200792	ENSCAFG00000020675
ENSG00000265590	ENSCAFG00000008998
ENSG00000120697	ENSCAFG00000006124
ENSG00000184470	ENSCAFG00000014373
ENSG00000166979	ENSCAFG00000008978
ENSG00000120699	ENSCAFG00000006115
ENSG00000221116	ENSCAFG00000026748
ENSG00000212498	ENSCAFG00000026428
ENSG00000229686	ENSCAFG00000025859
ENSG00000226572	ENSCAFG00000021724
ENSG00000101365	ENSCAFG00000014952
ENSG00000101365	ENSCAFG00000006639
ENSG00000102710	ENSCAFG00000006098
ENSG00000242220	ENSCAFG00000000854
ENSG00000182378	ENSCAFG00000048591
ENSG00000252045	ENSCAFG00000020799
ENSG00000178605	ENSCAFG00000010931
ENSG00000088881	ENSCAFG00000006631
ENSG00000167393	ENSCAFG00000010945
ENSG00000159082	ENSCAFG00000009041
ENSG00000088882	ENSCAFG00000006608
ENSG00000185960	ENSCAFG00000010966
ENSG00000205755	ENSCAFG00000011034
ENSG00000258713	ENSCAFG00000031835
ENSG00000198326	ENSCAFG00000006599
ENSG00000132635	ENSCAFG00000006588
ENSG00000198223	ENSCAFG00000011041
ENSG00000215305	ENSCAFG00000006534
ENSG00000093010	ENSCAFG00000014253
ENSG00000132670	ENSCAFG00000006460
ENSG00000099889	ENSCAFG00000014232
ENSG00000185291	ENSCAFG00000011047
ENSG00000183597	ENSCAFG00000014212
ENSG00000205929	ENSCAFG00000024277
ENSG00000205927	ENSCAFG00000028529
ENSG00000133110	ENSCAFG00000006073
ENSG00000184221	ENSCAFG00000031953
ENSG00000125901	ENSCAFG00000006438
ENSG00000101405	ENSCAFG00000006437
ENSG00000101200	ENSCAFG00000006432
ENSG00000169093	ENSCAFG00000015291
ENSG00000249624	ENSCAFG00000009071
ENSG00000185019	ENSCAFG00000006425
ENSG00000159110	ENSCAFG00000009065
ENSG00000159110	ENSCAFG00000029858
ENSG00000215251	ENSCAFG00000024131
ENSG00000088899	ENSCAFG00000006417
ENSG00000182162	ENSCAFG00000011053
ENSG00000182162	ENSCAFG00000029462
ENSG00000197976	ENSCAFG00000028835
ENSG00000197976	ENSCAFG00000030459
ENSG00000198171	ENSCAFG00000006407
ENSG00000196433	ENSCAFG00000024670
ENSG00000125877	ENSCAFG00000031613
ENSG00000125877	ENSCAFG00000047481
ENSG00000169084	ENSCAFG00000011067
ENSG00000208023	ENSCAFG00000020451
ENSG00000214717	ENSCAFG00000011075
ENSG00000284140	ENSCAFG00000030092
ENSG00000284464	ENSCAFG00000026826
ENSG00000099899	ENSCAFG00000014190
ENSG00000243646	ENSCAFG00000009071
ENSG00000088836	ENSCAFG00000006389
ENSG00000142166	ENSCAFG00000009086
ENSG00000142166	ENSCAFG00000028778
ENSG00000099901	ENSCAFG00000014178
ENSG00000159128	ENSCAFG00000009095
ENSG00000159128	ENSCAFG00000030501
ENSG00000133107	ENSCAFG00000006044
ENSG00000188120	ENSCAFG00000005867
ENSG00000088854	ENSCAFG00000006374
ENSG00000264346	ENSCAFG00000026675
ENSG00000099904	ENSCAFG00000014172
ENSG00000124343	ENSCAFG00000011091
ENSG00000142188	ENSCAFG00000009129
ENSG00000142188	ENSCAFG00000031278
ENSG00000205944	ENSCAFG00000005867
ENSG00000201294	ENSCAFG00000022337
ENSG00000201346	ENSCAFG00000021492
ENSG00000088812	ENSCAFG00000006278
ENSG00000234409	ENSCAFG00000028504
ENSG00000040608	ENSCAFG00000045006
ENSG00000056998	ENSCAFG00000011113
ENSG00000128185	ENSCAFG00000014151
ENSG00000177692	ENSCAFG00000047350
ENSG00000177692	ENSCAFG00000045160
ENSG00000159131	ENSCAFG00000009235
ENSG00000159131	ENSCAFG00000030829
ENSG00000161133	ENSCAFG00000016252
ENSG00000185252	ENSCAFG00000030432
ENSG00000125861	ENSCAFG00000006246
ENSG00000149451	ENSCAFG00000006234
ENSG00000207343	ENSCAFG00000028126
ENSG00000244486	ENSCAFG00000014896
ENSG00000181404	ENSCAFG00000015743
ENSG00000099910	ENSCAFG00000014906
ENSG00000120686	ENSCAFG00000006026
ENSG00000099917	ENSCAFG00000014932
ENSG00000150893	ENSCAFG00000006019
ENSG00000252795	ENSCAFG00000043034
ENSG00000252795	ENSCAFG00000042406
ENSG00000133115	ENSCAFG00000006012
ENSG00000120685	ENSCAFG00000006001
ENSG00000088827	ENSCAFG00000006219
ENSG00000205667	ENSCAFG00000024515
ENSG00000062096	ENSCAFG00000011163
ENSG00000239228	ENSCAFG00000048994
ENSG00000132622	ENSCAFG00000006209
ENSG00000101825	ENSCAFG00000011180
ENSG00000188811	ENSCAFG00000005999
ENSG00000187191	ENSCAFG00000005867
ENSG00000212214	ENSCAFG00000030098
ENSG00000207435	ENSCAFG00000026324
ENSG00000183943	ENSCAFG00000011187
ENSG00000159140	ENSCAFG00000009106
ENSG00000159140	ENSCAFG00000032306
ENSG00000207320	ENSCAFG00000021535
ENSG00000101220	ENSCAFG00000043071
ENSG00000205916	ENSCAFG00000005867
ENSG00000183722	ENSCAFG00000005998
ENSG00000133103	ENSCAFG00000005979
ENSG00000101222	ENSCAFG00000006190
ENSG00000125817	ENSCAFG00000006187
ENSG00000146938	ENSCAFG00000011251
ENSG00000101224	ENSCAFG00000006175
ENSG00000252291	ENSCAFG00000028157
ENSG00000212553	ENSCAFG00000025929
ENSG00000212553	ENSCAFG00000028121
ENSG00000130021	ENSCAFG00000011278
ENSG00000241973	ENSCAFG00000015248
ENSG00000159147	ENSCAFG00000028769
ENSG00000159147	ENSCAFG00000009309
ENSG00000101846	ENSCAFG00000011287
ENSG00000150907	ENSCAFG00000005965
ENSG00000102738	ENSCAFG00000005961
ENSG00000107099	ENSCAFG00000001957
ENSG00000102743	ENSCAFG00000005955
ENSG00000006757	ENSCAFG00000028605
ENSG00000120690	ENSCAFG00000004817
ENSG00000249209	ENSCAFG00000028733
ENSG00000249209	ENSCAFG00000002335
ENSG00000249209	ENSCAFG00000009541
ENSG00000249209	ENSCAFG00000001388
ENSG00000099937	ENSCAFG00000015271
ENSG00000205758	ENSCAFG00000028512
ENSG00000205758	ENSCAFG00000009315
ENSG00000120688	ENSCAFG00000004805
ENSG00000011201	ENSCAFG00000011318
ENSG00000125843	ENSCAFG00000006159
ENSG00000099940	ENSCAFG00000015201
ENSG00000165572	ENSCAFG00000004802
ENSG00000088888	ENSCAFG00000006157
ENSG00000099942	ENSCAFG00000015188
ENSG00000120662	ENSCAFG00000004795
ENSG00000183304	ENSCAFG00000023819
ENSG00000183773	ENSCAFG00000030423
ENSG00000125779	ENSCAFG00000006150
ENSG00000177138	ENSCAFG00000023819
ENSG00000172766	ENSCAFG00000004778
ENSG00000199024	ENSCAFG00000020490
ENSG00000101236	ENSCAFG00000006140
ENSG00000101849	ENSCAFG00000011362
ENSG00000205726	ENSCAFG00000032220
ENSG00000205726	ENSCAFG00000032318
ENSG00000088826	ENSCAFG00000006089
ENSG00000102763	ENSCAFG00000004764
ENSG00000107104	ENSCAFG00000001974
ENSG00000099949	ENSCAFG00000015154
ENSG00000101850	ENSCAFG00000044896
ENSG00000171873	ENSCAFG00000006068
ENSG00000171867	ENSCAFG00000006065
ENSG00000146950	ENSCAFG00000011388
ENSG00000171864	ENSCAFG00000006063
ENSG00000101265	ENSCAFG00000006052
ENSG00000234469	ENSCAFG00000011393
ENSG00000047644	ENSCAFG00000011461
ENSG00000102780	ENSCAFG00000004733
ENSG00000184436	ENSCAFG00000030978
ENSG00000099957	ENSCAFG00000015060
ENSG00000073464	ENSCAFG00000011537
ENSG00000137090	ENSCAFG00000001982
ENSG00000064218	ENSCAFG00000023150
ENSG00000173253	ENSCAFG00000001988
ENSG00000089063	ENSCAFG00000006039
ENSG00000099960	ENSCAFG00000015014
ENSG00000101871	ENSCAFG00000011570
ENSG00000023516	ENSCAFG00000004677
ENSG00000080503	ENSCAFG00000002013
ENSG00000187905	ENSCAFG00000014995
ENSG00000132646	ENSCAFG00000006030
ENSG00000120659	ENSCAFG00000004675
ENSG00000101290	ENSCAFG00000006020
ENSG00000133475	ENSCAFG00000013899
ENSG00000179813	ENSCAFG00000004671
ENSG00000133106	ENSCAFG00000044274
ENSG00000274600	ENSCAFG00000044607
ENSG00000169635	ENSCAFG00000032493
ENSG00000120675	ENSCAFG00000004664
ENSG00000120658	ENSCAFG00000004644
ENSG00000207202	ENSCAFG00000021935
ENSG00000004961	ENSCAFG00000011591
ENSG00000151773	ENSCAFG00000004607
ENSG00000047648	ENSCAFG00000011595
ENSG00000179630	ENSCAFG00000004602
ENSG00000125772	ENSCAFG00000005997
ENSG00000281883	ENSCAFG00000004602
ENSG00000139656	ENSCAFG00000045623
ENSG00000183246	ENSCAFG00000044607
ENSG00000171984	ENSCAFG00000005993
ENSG00000185651	ENSCAFG00000015284
ENSG00000015171	ENSCAFG00000005669
ENSG00000089199	ENSCAFG00000005988
ENSG00000161179	ENSCAFG00000015293
ENSG00000089195	ENSCAFG00000005969
ENSG00000102804	ENSCAFG00000004584
ENSG00000161180	ENSCAFG00000015302
ENSG00000125363	ENSCAFG00000011602
ENSG00000128228	ENSCAFG00000015309
ENSG00000212102	ENSCAFG00000025669
ENSG00000125885	ENSCAFG00000005951
ENSG00000100023	ENSCAFG00000015364
ENSG00000083635	ENSCAFG00000004564
ENSG00000005302	ENSCAFG00000011611
ENSG00000188342	ENSCAFG00000004540
ENSG00000180332	ENSCAFG00000004547
ENSG00000133112	ENSCAFG00000004533
ENSG00000286235	ENSCAFG00000005951
ENSG00000125872	ENSCAFG00000024978
ENSG00000101311	ENSCAFG00000005917
ENSG00000100030	ENSCAFG00000015421
ENSG00000125845	ENSCAFG00000031497
ENSG00000100034	ENSCAFG00000015440
ENSG00000101323	ENSCAFG00000005890
ENSG00000125827	ENSCAFG00000005883
ENSG00000174032	ENSCAFG00000004531
ENSG00000100038	ENSCAFG00000015482
ENSG00000182621	ENSCAFG00000005856
ENSG00000151240	ENSCAFG00000005624
ENSG00000136152	ENSCAFG00000004526
ENSG00000107929	ENSCAFG00000042366
ENSG00000165837	ENSCAFG00000004523
ENSG00000174015	ENSCAFG00000004963
ENSG00000215475	ENSCAFG00000004514
ENSG00000123200	ENSCAFG00000004511
ENSG00000107937	ENSCAFG00000005536
ENSG00000211638	ENSCAFG00000043751
ENSG00000211638	ENSCAFG00000049328
ENSG00000211638	ENSCAFG00000044139
ENSG00000211638	ENSCAFG00000043457
ENSG00000211638	ENSCAFG00000049192
ENSG00000211638	ENSCAFG00000049435
ENSG00000211638	ENSCAFG00000043966
ENSG00000211638	ENSCAFG00000046023
ENSG00000211638	ENSCAFG00000041046
ENSG00000211638	ENSCAFG00000029243
ENSG00000211638	ENSCAFG00000042203
ENSG00000211638	ENSCAFG00000044654
ENSG00000211638	ENSCAFG00000049779
ENSG00000211638	ENSCAFG00000043204
ENSG00000211638	ENSCAFG00000029746
ENSG00000211638	ENSCAFG00000044541
ENSG00000241837	ENSCAFG00000028733
ENSG00000241837	ENSCAFG00000002335
ENSG00000241837	ENSCAFG00000009541
ENSG00000241837	ENSCAFG00000001388
ENSG00000169575	ENSCAFG00000024382
ENSG00000080618	ENSCAFG00000004499
ENSG00000211647	ENSCAFG00000048182
ENSG00000211647	ENSCAFG00000042030
ENSG00000211647	ENSCAFG00000043208
ENSG00000211650	ENSCAFG00000048182
ENSG00000211650	ENSCAFG00000042030
ENSG00000211650	ENSCAFG00000043208
ENSG00000211654	ENSCAFG00000048182
ENSG00000211654	ENSCAFG00000042030
ENSG00000211654	ENSCAFG00000043208
ENSG00000067064	ENSCAFG00000043636
ENSG00000136167	ENSCAFG00000004491
ENSG00000275004	ENSCAFG00000013594
ENSG00000047056	ENSCAFG00000005519
ENSG00000185686	ENSCAFG00000013613
ENSG00000169933	ENSCAFG00000011627
ENSG00000243927	ENSCAFG00000028779
ENSG00000198743	ENSCAFG00000045409
ENSG00000198743	ENSCAFG00000009546
ENSG00000101911	ENSCAFG00000007678
ENSG00000101911	ENSCAFG00000011662
ENSG00000159197	ENSCAFG00000009549
ENSG00000211656	ENSCAFG00000013622
ENSG00000173988	ENSCAFG00000030857
ENSG00000100121	ENSCAFG00000013899
ENSG00000185736	ENSCAFG00000029140
ENSG00000196664	ENSCAFG00000011698
ENSG00000102445	ENSCAFG00000004480
ENSG00000222018	ENSCAFG00000009551
ENSG00000243627	ENSCAFG00000037920
ENSG00000205542	ENSCAFG00000046463
ENSG00000180509	ENSCAFG00000009554
ENSG00000211658	ENSCAFG00000032328
ENSG00000211658	ENSCAFG00000043799
ENSG00000211659	ENSCAFG00000032328
ENSG00000211659	ENSCAFG00000043799
ENSG00000211660	ENSCAFG00000013622
ENSG00000187268	ENSCAFG00000023819
ENSG00000252998	ENSCAFG00000028405
ENSG00000211661	ENSCAFG00000032328
ENSG00000211661	ENSCAFG00000043799
ENSG00000211662	ENSCAFG00000028850
ENSG00000211662	ENSCAFG00000049151
ENSG00000211662	ENSCAFG00000031273
ENSG00000222973	ENSCAFG00000049973
ENSG00000222973	ENSCAFG00000042847
ENSG00000212156	ENSCAFG00000028411
ENSG00000212156	ENSCAFG00000026969
ENSG00000159200	ENSCAFG00000009559
ENSG00000211664	ENSCAFG00000013622
ENSG00000211665	ENSCAFG00000032328
ENSG00000211665	ENSCAFG00000043799
ENSG00000211666	ENSCAFG00000013622
ENSG00000211667	ENSCAFG00000028850
ENSG00000211667	ENSCAFG00000049151
ENSG00000211667	ENSCAFG00000031273
ENSG00000211668	ENSCAFG00000013622
ENSG00000123594	ENSCAFG00000007469
ENSG00000211669	ENSCAFG00000032328
ENSG00000211669	ENSCAFG00000043799
ENSG00000101333	ENSCAFG00000005760
ENSG00000278196	ENSCAFG00000013622
ENSG00000211672	ENSCAFG00000015176
ENSG00000211672	ENSCAFG00000043925
ENSG00000211672	ENSCAFG00000047177
ENSG00000211672	ENSCAFG00000028847
ENSG00000211672	ENSCAFG00000014432
ENSG00000147852	ENSCAFG00000002028
ENSG00000067057	ENSCAFG00000005468
ENSG00000159212	ENSCAFG00000009568
ENSG00000198759	ENSCAFG00000011726
ENSG00000100218	ENSCAFG00000013646
ENSG00000159216	ENSCAFG00000009596
ENSG00000176896	ENSCAFG00000011746
ENSG00000128266	ENSCAFG00000013663
ENSG00000123595	ENSCAFG00000011750
